beat_id,start,end,duration_seconds,chapter,narration,asset_class,specific_asset_requirement,provenance,motion_editing,gfx,rights_qc,status
SAT-B100,00:17:40.561,00:17:49.261,8.7,"ACT VI — transfer, reuse, and meaning","Fiber. Developed land. Those assets had been assembled for a nuclear station, but many were not inherently nuclear.",CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",None beyond captions unless a number/date named in narration materially improves comprehension.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B101,00:17:49.261,00:18:04.701,15.44,"ACT VI — transfer, reuse, and meaning",A heavy industrial building can house manufacturing. A tunnel can become a controlled training environment. Electrical and water capacity can attract tenants that could never justify building the same infrastructure from scratch.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",None beyond captions unless a number/date named in narration materially improves comprehension.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B102,00:18:04.701,00:18:15.811,11.11,"ACT VI — transfer, reuse, and meaning",Today the site operates as a community-owned business park. The former turbine building offers roughly three hundred thousand square feet of industrial space.,MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B103,00:18:15.811,00:18:24.691,8.88,"ACT VI — transfer, reuse, and meaning",Underground tunnels support confined-space training. Portions of the reactor building are used for rescue and other specialized exercises.,TECH_GFX,Source-grounded simplified plant/system diagram showing only the components named in narration.,DOCUMENT if a verified drawing is visible; otherwise no historical label,Component-by-component reveal; no decorative gauges or invented engineering detail.,None beyond captions unless a number/date named in narration materially improves comprehension.,"Do not depict either Satsop unit as fueled, operating, or completed. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B104,00:18:24.691,00:18:35.791,11.1,"ACT VI — transfer, reuse, and meaning",This reuse does not repay every nuclear-project cost. It does not turn Project Three or Project Five into successful power investments.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B105,00:18:35.791,00:18:46.111,10.32,"ACT VI — transfer, reuse, and meaning",Nor does it make the restricted nuclear structures public attractions. The Port warns visitors to remain on public roads and outside fenced areas.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",None beyond captions unless a number/date named in narration materially improves comprehension.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B106,00:18:46.111,00:18:54.721,8.61,"ACT VI — transfer, reuse, and meaning","The business park is a working industrial site, not an abandoned playground. It answers a narrower question.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B107,00:18:54.721,00:19:03.501,8.78,"ACT VI — transfer, reuse, and meaning","After the original future disappears, can the infrastructure do anything useful next? At Satsop, some of it could.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B108,00:19:03.501,00:19:13.981,10.48,"ACT VI — transfer, reuse, and meaning",The towers still look like twins. Now they record two different failures. Project Five marks the point where one financing system broke.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B109,00:19:13.981,00:19:23.920,9.939,"ACT VI — transfer, reuse, and meaning",Project Three marks the point where sunk cost lost to future risk. The power never arrived. The infrastructure found another job.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
